id,name,form_name,分類,カテゴリー,タイプ1,タイプ2,高さ,重さ,HP,攻撃,防御,特攻,特防,素早さ,合計,特性1,特性2,夢特性,hiragana,romaji
1,フシギダネ,通常,たねポケモン,通常,くさ,どく,0.7,6.9,45,49,49,65,65,45,318,しんりょく,,ようりょくそ,ふしぎだね,fushigidane
2,フシギソウ,通常,たねポケモン,通常,くさ,どく,1,13,60,62,63,80,80,60,405,しんりょく,,ようりょくそ,ふしぎそう,fushigisou
3,フシギバナ,通常,たねポケモン,通常,くさ,どく,2,100,80,82,83,100,100,80,525,しんりょく,,ようりょくそ,ふしぎばな,fushigibana
4,ヒトカゲ,通常,とかげポケモン,通常,ほのお,,0.6,8.5,39,52,43,60,50,65,309,もうか,,サンパワー,ひとかげ,hitokage
5,リザード,通常,かえんポケモン,通常,ほのお,,1.1,19,58,64,58,80,65,80,405,もうか,,サンパワー,りざーど,rizado
6,リザードン,通常,かえんポケモン,通常,ほのお,ひこう,1.7,90.5,78,84,78,109,85,100,534,もうか,,サンパワー,りざーどん,rizadon
7,ゼニガメ,通常,かめのこポケモン,通常,みず,,0.5,9,44,48,65,50,64,43,314,げきりゅう,,あめうけざら,ぜにがめ,zenigame
8,カメール,通常,かめポケモン,通常,みず,,1,22.5,59,63,80,65,80,58,405,げきりゅう,,あめうけざら,かめーる,kameru
9,カメックス,通常,こうらポケモン,通常,みず,,1.6,85.5,79,83,100,85,105,78,530,げきりゅう,,あめうけざら,かめっくす,kamekkusu
10,キャタピー,通常,いもむしポケモン,通常,むし,,0.3,2.9,45,30,35,20,20,45,195,りんぷん,,にげあし,きゃたぴー,kyatapi
11,トランセル,通常,さなぎポケモン,通常,むし,,0.7,9.9,50,20,55,25,25,30,205,だっぴ,,,とらんせる,toranseru
12,バタフリー,通常,ちょうちょポケモン,通常,むし,ひこう,1.1,32,60,45,50,90,80,70,395,ふくがん,,いろめがね,ばたふりー,batafuri
13,ビードル,通常,けむしポケモン,通常,むし,どく,0.3,3.2,40,35,30,20,20,50,195,りんぷん,,にげあし,びーどる,bidoru
14,コクーン,通常,さなぎポケモン,通常,むし,どく,0.6,10,45,25,50,25,25,35,205,だっぴ,,,こくーん,kokun
15,スピアー,通常,どくばちポケモン,通常,むし,どく,1,29.5,65,90,40,45,80,75,395,むしのしらせ,,スナイパー,すぴあー,supia
16,ポッポ,通常,ことりポケモン,通常,ノーマル,ひこう,0.3,1.8,40,45,40,35,35,56,251,するどいめ,ちどりあし,はとむね,ぽっぽ,poppo
17,ピジョン,通常,とりポケモン,通常,ノーマル,ひこう,1.1,30,63,60,55,50,50,71,349,するどいめ,ちどりあし,はとむね,ぴじょん,pijon
18,ピジョット,通常,とりポケモン,通常,ノーマル,ひこう,1.5,39.5,83,80,75,70,70,101,479,するどいめ,ちどりあし,はとむね,ぴじょっと,pijotto
19,コラッタ,通常,ねずみポケモン,通常,ノーマル,,0.3,3.5,30,56,35,25,35,72,253,にげあし,こんじょう,はりきり,こらった,koratta
20,ラッタ,通常,ねずみポケモン,通常,ノーマル,,0.7,18.5,55,81,60,50,70,97,413,にげあし,こんじょう,はりきり,らった,ratta
21,オニスズメ,通常,ことりポケモン,通常,ノーマル,ひこう,0.3,2,40,60,30,31,31,70,262,するどいめ,,スナイパー,おにすずめ,onisuzume
22,オニドリル,通常,くちばしポケモン,通常,ノーマル,ひこう,1.2,38,65,90,65,61,61,100,442,するどいめ,,スナイパー,おにどりる,onidoriru
23,アーボ,通常,へびポケモン,通常,どく,,2,6.9,35,60,44,40,54,55,288,いかく,だっぴ,きんちょうかん,あーぼ,abo
24,アーボック,通常,コブラポケモン,通常,どく,,3.5,65,60,95,69,65,79,80,448,いかく,だっぴ,きんちょうかん,あーぼっく,abokku
25,ピカチュウ,通常,ねずみポケモン,通常,でんき,,0.4,6,35,55,40,50,50,90,320,せいでんき,,ひらいしん,ぴかちゅう,pikachu
26,ライチュウ,通常,ねずみポケモン,通常,でんき,,0.8,30,60,90,55,90,80,110,485,せいでんき,,ひらいしん,らいちゅう,raichu
27,サンド,通常,ねずみポケモン,通常,じめん,,0.6,12,50,75,85,20,30,40,300,すながくれ,,すなかき,さんど,sando
28,サンドパン,通常,ねずみポケモン,通常,じめん,,1,29.5,75,100,110,45,55,65,450,すながくれ,,すなかき,さんどぱん,sandopan
29,ニドラン♀,通常,どくばりポケモン,通常,どく,,0.4,7,55,47,52,40,40,41,275,どくのトゲ,とうそうしん,はりきり,にどらん♀,nidoran♀
30,ニドリーナ,通常,どくばりポケモン,通常,どく,,0.8,20,70,62,67,55,55,56,365,どくのトゲ,とうそうしん,はりきり,にどりーな,nidorina
31,ニドクイン,通常,ドリルポケモン,通常,どく,じめん,1.3,60,90,92,87,75,85,76,505,どくのトゲ,とうそうしん,ちからずく,にどくいん,nidokuin
32,ニドラン♂,通常,どくばりポケモン,通常,どく,,0.5,9,46,57,40,40,40,50,273,どくのトゲ,とうそうしん,はりきり,にどらん♂,nidoran♂
